Index,smiles,expt.(A^3)
260,C1COCCN1C=N,11.22
261,CCCC(=O)O,8.80
262,CCCCOC(=O)C,12.57
263,CCCCOC,10.80
264,CCCCN,9.64
265,CCCCCCCCCC,19.33
266,CCCCCCCCCCCC,23.03
267,CCCCCCCCCCCCO,23.50
268,CCCCCCC,13.81
269,CCCCCCCCCCCCCCCC,30.42
270,CCCCCCCC,15.60
271,CCCCC,10.11
272,CCCCC(=O)O,10.60
273,CCCOC(=O)C,10.72
274,CCCOC=O,8.93
275,CCCCCCCCCCC,21.14
276,c1ccc(cc1)N(=O)=O,13.00
277,C1CCC(CC1)N(=O)=O,13.26
278,CCN(=O)=O,6.76
279,CN(=O)=O,4.97
280,Cc1ccccc1C,14.25
281,CC(=O)c1ccc(cc1)Cl,16.50
282,COc1ccc(cc1)C=O,15.90
283,Cc1ccc(cc1)C(=O)C,16.40
284,C(C(Cl)(Cl)Cl)(Cl)Cl,14.17
285,c1c(c(c(c(c1F)F)F)F)F,10.43
286,c1(c(c(nc(c1F)F)F)F)F,10.18
287,CCCCC#N,9.99
288,C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F,13.71
289,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,14.70
290,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,12.71
291,c1ccc(cc1)O,11.00
292,C#Cc1ccccc1,13.91
293,CC(=O)Cc1ccccc1,15.80
294,c1ccc(cc1)CC#N,13.96
295,C1CCNCC1,10.65
296,CCC#N,6.30
297,CCC(=O)O,6.72
298,C#CCN,7.29
299,CCC=O,6.40
300,CCC(=O)c1ccccc1,16.20
301,c1ccncc1,9.58
302,c1cncnc1,8.59
303,c1cc[nH]c1,8.23
304,C1CC(=O)NC1,8.66
305,C1CCNC1,8.77
306,C1CCN(C1)C=N,11.09
307,c1ccc2c(c1)cccn2,16.65
308,C=Cc1ccccc1,14.50
309,C1CCS(=O)(=O)C1,10.73
310,CC(C)(C)O,8.82
311,CCC(C)(C)OC,12.48
312,CCOC(C)(C)C,12.62
313,CC(C)(C)OC,10.65
314,CC(C)(C)N,9.69
315,CC(C)(C)OO,9.44
316,C(COCCOCCOCCO)O,18.71
317,C1CCOC1,7.97
318,C1CCSC1,10.41
319,C1CCS(=O)C1,10.77
320,C1CCOCC1,9.85
